iter	Passed	Remaining
181	1303	5857
182	1310	5852
183	1318	5846
184	1325	5840
185	1332	5833
186	1340	5826
187	1347	5820
188	1354	5813
189	1362	5807
190	1369	5800
191	1376	5794
192	1383	5786
193	1390	5777
194	1398	5771
195	1405	5763
196	1413	5759
197	1420	5751
198	1426	5743
199	1434	5736
200	1441	5729
201	1448	5721
202	1455	5714
203	1462	5705
204	1468	5696
205	1475	5688
206	1482	5679
207	1489	5671
208	1496	5663
209	1504	5658
210	1511	5651
211	1518	5643
212	1525	5635
213	1532	5627
214	1539	5619
215	1545	5611
216	1552	5602
217	1559	5595
218	1567	5590
219	1575	5584
220	1582	5579
221	1589	5571
222	1597	5565
223	1604	5557
224	1611	5549
225	1618	5542
226	1625	5534
227	1632	5526
228	1639	5518
229	1646	5512
230	1653	5503
231	1660	5497
232	1667	5489
233	1674	5482
234	1681	5474
235	1688	5467
236	1695	5458
237	1702	5451
238	1709	5442
239	1716	5435
240	1723	5428
241	1730	5420
242	1737	5413
243	1745	5407
244	1752	5400
245	1759	5392
246	1766	5385
247	1773	5377
248	1780	5371
249	1787	5363
250	1794	5355
251	1802	5349
252	1808	5340
253	1816	5334
254	1824	5328
255	1830	5321
256	1837	5313
257	1844	5304
258	1851	5297
259	1858	5290
260	1865	5282
261	1872	5275
262	1879	5266
263	1886	5258
264	1892	5250
265	1899	5242
266	1906	5235
267	1913	5227
268	1920	5219
269	1927	5211
270	1934	5203
271	1941	5197
272	1948	5189
273	1955	5182
274	1963	5175
275	1970	5167
276	1977	5160
277	1984	5154
278	1991	5145
279	1998	5138
280	2005	5131
281	2012	5124
282	2019	5117
283	2026	5109
284	2033	5101
285	2040	5094
286	2047	5087
287	2054	5079
288	2061	5071
289	2068	5063
290	2075	5056
291	2082	5048
292	2088	5040
293	2095	5033
294	2102	5025
295	2109	5017
296	2117	5011
297	2124	5004
298	2131	4996
299	2138	4988
300	2144	4980
301	2151	4973
302	2159	4966
303	2165	4958
304	2172	4950
305	2179	4943
306	2186	4935
307	2193	4928
308	2200	4920
309	2207	4913
310	2214	4906
311	2221	4899
312	2229	4892
313	2236	4886
314	2243	4879
315	2252	4875
316	2259	4868
317	2266	4860
318	2273	4853
319	2280	4846
320	2287	4838
321	2294	4831
322	2301	4823
323	2308	4816
324	2315	4809
325	2322	4802
326	2329	4794
327	2336	4787
328	2343	4780
329	2350	4773
330	2357	4765
331	2364	4758
332	2372	4751
333	2379	4744
334	2386	4737
335	2394	4732
336	2401	4724
337	2408	4717
338	2415	4709
339	2422	4702
340	2429	4694
341	2436	4687
342	2443	4679
343	2449	4671
344	2457	4664
345	2463	4656
346	2470	4649
347	2477	4641
348	2484	4634
349	2491	4627
350	2498	4619
351	2505	4612
352	2512	4605
353	2519	4597
354	2526	4590
355	2533	4583
356	2540	4575
357	2547	4568
358	2554	4561
359	2561	4553
360	2568	4546
361	2576	4540
362	2583	4533
363	2590	4526
364	2598	4520
365	2605	4513
366	2613	4507
367	2621	4501
368	2629	4496
369	2637	4490
370	2644	4483
371	2651	4476
372	2659	4469
373	2666	4463
374	2674	4456
375	2681	4450
376	2689	4443
377	2696	4437
378	2703	4430
379	2711	4424
380	2719	4417
381	2726	4410
382	2734	4404
383	2744	4402
384	2751	4395
385	2759	4390
386	2767	4383
387	2774	4376
388	2784	4373
389	2792	4367
390	2802	4364
391	2809	4357
392	2819	4354
393	2826	4346
394	2834	4340
395	2843	4336
396	2850	4329
397	2860	4325
398	2867	4319
399	2875	4313
400	2884	4308
401	2892	4302
402	2901	4298
403	2909	4292
404	2919	4289
405	2926	4282
406	2935	4276
407	2943	4271
408	2950	4263
409	2961	4261
410	2968	4254
411	2977	4250
412	2985	4243
413	2992	4235
414	3002	4232
415	3010	4226
416	3019	4221
417	3026	4213
418	3034	4207
419	3044	4203
420	3051	4197
421	3061	4193
422	3069	4186
423	3078	4182
424	3085	4175
425	3093	4168
426	3103	4164
427	3111	4157
428	3120	4152
429	3127	4145
430	3135	4139
431	3143	4133
432	3151	4126
433	3159	4120
434	3166	4113
435	3177	4109
436	3184	4102
437	3192	4096
438	3200	4089
439	3207	4082
440	3216	4077
441	3223	4070
442	3231	4063
443	3240	4057
444	3247	4050
445	3257	4046
446	3264	4038
447	3273	4033
448	3280	4025
449	3288	4018
450	3295	4011
451	3302	4003
452	3309	3996
453	3318	3991
454	3325	3983
455	3334	3978
456	3341	3970
457	3349	3964
458	3358	3958
459	3366	3951
460	3375	3946
461	3382	3939
462	3390	3932
463	3400	3927
464	3407	3920
465	3417	3916
466	3424	3908
467	3433	3903
468	3440	3895
469	3448	3888
470	3457	3883
471	3465	3876
472	3475	3871
473	3482	3864
474	3489	3857
475	3499	3851
476	3506	3844
477	3516	3839
478	3523	3832
479	3531	3825
480	3538	3817
481	3545	3810
482	3554	3804
483	3560	3796
484	3568	3789
485	3575	3781
486	3581	3773
487	3589	3765
488	3596	3757
489	3603	3750
490	3610	3742
491	3617	3734
492	3624	3726
493	3630	3719
494	3638	3711
495	3645	3704
496	3652	3696
497	3659	3688
498	3666	3681
499	3673	3673
500	3680	3666
501	3688	3658
502	3694	3650
503	3701	3643
504	3708	3635
505	3715	3627
506	3722	3619
507	3729	3612
508	3737	3604
509	3743	3597
510	3750	3589
511	3758	3582
512	3766	3576
513	3774	3568
514	3781	3561
515	3788	3553
516	3795	3545
517	3802	3538
518	3809	3530
519	3817	3523
520	3824	3515
521	3831	3508
522	3838	3500
523	3845	3493
524	3852	3485
525	3858	3477
526	3865	3469
527	3872	3462
528	3879	3454
529	3886	3446
530	3893	3439
531	3900	3431
532	3907	3423
533	3914	3416
534	3921	3408
535	3928	3401
536	3936	3393
537	3943	3386
538	3950	3378
539	3957	3371
540	3964	3363
541	3971	3356
542	3978	3348
543	3985	3340
544	3992	3333
545	3999	3325
546	4006	3318
547	4013	3310
548	4020	3302
549	4028	3295
550	4035	3288
551	4042	3280
552	4050	3274
553	4057	3266
554	4065	3259
555	4072	3252
556	4079	3244
557	4086	3237
558	4093	3229
559	4100	3221
560	4107	3214
561	4114	3206
562	4121	3198
563	4128	3191
564	4135	3183
565	4142	3176
566	4150	3169
567	4158	3162
568	4166	3156
569	4174	3149
570	4181	3141
571	4188	3134
572	4196	3127
573	4203	3119
574	4211	3112
575	4218	3105
576	4226	3098
577	4234	3091
578	4241	3084
579	4250	3077
580	4258	3070
581	4271	3067
582	4278	3060
583	4288	3055
584	4296	3047
585	4304	3041
586	4312	3034
587	4319	3026
588	4329	3020
589	4336	3013
590	4345	3007
591	4353	3000
592	4360	2992
593	4370	2987
594	4378	2980
595	4388	2974
596	4395	2967
597	4404	2960
598	4412	2954
599	4419	2946
600	4429	2940
601	4437	2933
602	4447	2928
603	4454	2920
604	4462	2913
605	4470	2906
606	4477	2899
607	4488	2893
608	4495	2886
609	4506	2880
610	4513	2873
611	4520	2866
612	4530	2860
613	4537	2852
614	4547	2846
615	4554	2839
616	4564	2833
617	4572	2826
618	4579	2818
619	4589	2813
620	4597	2805
621	4606	2799
622	4613	2791
623	4622	2785
624	4630	2778
625	4637	2770
626	4647	2764
627	4655	2757
628	4663	2750
629	4672	2744
630	4680	2737
631	4690	2731
632	4697	2723
633	4707	2717
634	4714	2710
635	4723	2703
636	4732	2696
637	4739	2689
638	4747	2682
639	4758	2676
640	4767	2670
641	4776	2663
642	4786	2657
643	4793	2650
644	4801	2642
645	4811	2636
646	4819	2629
647	4828	2623
648	4836	2615
649	4846	2609
650	4853	2601
651	4861	2594
652	4870	2588
653	4877	2580
654	4887	2574
655	4895	2566
656	4905	2560
657	4911	2552
658	4919	2545
659	4929	2539
660	4936	2531
661	4946	2525
662	4953	2518
663	4962	2511
664	4971	2504
665	4980	2497
666	4988	2490
667	4997	2483
668	5006	2477
669	5013	2469
670	5023	2463
671	5030	2455
672	5038	2447
673	5047	2441
674	5055	2434
675	5065	2428
676	5072	2420
677	5083	2414
678	5090	2406
679	5099	2399
680	5107	2392
681	5115	2385
682	5124	2378
683	5131	2370
684	5141	2364
685	5148	2356
686	5155	2349
687	5166	2342
688	5173	2335
689	5183	2328
690	5190	2321
691	5198	2313
692	5207	2306
693	5214	2299
694	5225	2293
695	5232	2285
696	5241	2278
697	5249	2271
698	5256	2263
699	5266	2257
700	5274	2249
701	5284	2243
702	5291	2235
703	5301	2229
704	5308	2221
705	5318	2214
706	5325	2207
707	5333	2199
708	5343	2193
709	5351	2185
710	5359	2178
711	5370	2172
712	5378	2165
713	5386	2157
714	5394	2150
715	5402	2142
716	5411	2136
717	5421	2129
718	5429	2121
719	5437	2114
720	5446	2107
721	5454	2100
722	5464	2093
723	5471	2085
724	5481	2079
725	5488	2071
726	5496	2064
727	5506	2057
728	5513	2049
729	5522	2042
730	5529	2034
731	5539	2028
732	5546	2020
733	5554	2012
734	5563	2005
735	5571	1998
736	5580	1991
737	5587	1983
738	5597	1976
739	5604	1969
740	5612	1961
741	5620	1954
742	5627	1946
743	5636	1939
744	5643	1931
745	5650	1923
746	5659	1916
747	5666	1909
748	5675	1901
749	5682	1894
750	5689	1886
751	5698	1879
752	5705	1871
753	5716	1864
754	5724	1857
755	5732	1850
756	5739	1842
757	5746	1834
758	5756	1827
759	5763	1819
760	5770	1812
761	5780	1805
762	5787	1797
763	5796	1790
764	5803	1782
765	5811	1775
766	5818	1767
767	5825	1759
768	5833	1752
769	5841	1744
770	5848	1737
771	5858	1730
772	5865	1722
773	5873	1714
774	5881	1707
775	5888	1699
776	5897	1692
777	5904	1684
778	5913	1677
779	5920	1669
780	5927	1662
781	5937	1655
782	5944	1647
783	5953	1640
784	5961	1632
785	5968	1624
786	5977	1617
787	5984	1610
788	5995	1603
789	6002	1595
790	6009	1587
791	6017	1580
792	6024	1572
793	6033	1565
794	6040	1557
795	6047	1549
796	6056	1542
797	6063	1534
798	6071	1527
799	6080	1520
800	6087	1512
801	6096	1505
802	6104	1497
803	6113	1490
804	6120	1482
805	6127	1474
806	6137	1467
807	6144	1459
808	6153	1452
809	6160	1444
810	6167	1437
811	6176	1430
812	6184	1422
813	6193	1415
814	6201	1407
815	6209	1400
816	6217	1392
817	6224	1384
818	6234	1377
819	6241	1370
820	6249	1362
821	6256	1354
822	6263	1347
823	6272	1339
824	6279	1332
825	6287	1324
826	6296	1317
827	6303	1309
828	6312	1301
829	6319	1294
830	6327	1286
831	6336	1279
832	6344	1271
833	6354	1264
834	6361	1257
835	6369	1249
836	6378	1242
837	6386	1234
838	6395	1227
839	6402	1219
840	6411	1212
841	6418	1204
842	6425	1196
843	6433	1189
844	6440	1181
845	6449	1174
846	6456	1166
847	6463	1158
848	6474	1151
849	6481	1143
850	6490	1136
851	6497	1128
852	6504	1120
853	6514	1113
854	6521	1105
855	6530	1098
856	6537	1090
857	6544	1083
858	6553	1075
859	6560	1067
860	6567	1060
861	6577	1053
862	6584	1045
863	6594	1037
864	6601	1030
865	6611	1023
866	6618	1015
867	6626	1007
868	6633	1000
869	6641	992
870	6650	985
871	6658	977
872	6665	969
873	6674	962
874	6681	954
875	6690	947
876	6697	939
877	6705	931
878	6714	924
879	6721	916
880	6731	909
881	6738	901
882	6748	894
883	6755	886
884	6762	878
885	6771	871
886	6778	863
887	6786	855
888	6793	848
889	6800	840
890	6809	833
891	6816	825
892	6823	817
893	6832	810
894	6839	802
895	6848	794
896	6856	787
897	6863	779
898	6872	772
899	6879	764
900	6888	756
901	6895	749
902	6902	741
903	6911	733
904	6919	726
905	6928	718
906	6935	711
907	6942	703
908	6951	695
909	6958	688
910	6966	680
911	6975	673
912	6985	665
913	6992	657
914	6999	650
915	7008	642
916	7015	635
917	7023	627
918	7031	619
919	7038	612
920	7047	604
921	7054	596
922	7061	589
923	7070	581
924	7078	573
925	7087	566
926	7094	558
927	7102	551
928	7111	543
929	7119	535
930	7128	528
931	7135	520
932	7143	513
933	7153	505
934	7160	497
935	7169	490
936	7177	482
937	7187	475
938	7193	467
939	7201	459
940	7210	452
941	7217	444
942	7226	436
943	7234	429
944	7241	421
945	7250	413
946	7257	406
947	7267	398
948	7273	390
949	7281	383
950	7290	375
951	7298	367
952	7306	360
953	7313	352
954	7321	344
955	7329	337
956	7336	329
957	7345	322
958	7353	314
959	7361	306
960	7370	299
961	7377	291
962	7388	283
963	7395	276
964	7402	268
965	7412	260
966	7419	253
967	7429	245
968	7436	237
969	7443	230
970	7452	222
971	7459	214
972	7469	207
973	7476	199
974	7485	191
975	7492	184
976	7499	176
977	7509	168
978	7516	161
979	7525	153
980	7532	145
981	7540	138
982	7548	130
983	7555	122
984	7564	115
985	7572	107
986	7579	99
987	7588	92
988	7595	84
989	7605	76
990	7612	69
991	7620	61
992	7628	53
993	7635	46
994	7645	38
995	7652	30
996	7660	23
997	7668	15
998	7675	7
999	7684	0
